# eps=0.8: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   4.000     3.863e+26     3.765e+26     3.650e+26     3.516e+26     3.361e+26     3.184e+26     2.985e+26     2.765e+26     2.526e+26     2.271e+26     2.006e+26     1.739e+26     1.477e+26  
   4.500     3.454e+26     3.350e+26     3.230e+26     3.092e+26     2.937e+26     2.763e+26     2.573e+26     2.367e+26     2.149e+26     1.923e+26     1.695e+26     1.472e+26     1.258e+26  
   5.000     3.066e+26     2.959e+26     2.837e+26     2.701e+26     2.551e+26     2.387e+26     2.210e+26     2.024e+26     1.831e+26     1.635e+26     1.442e+26     1.256e+26     1.080e+26  
   5.500     2.695e+26     2.589e+26     2.472e+26     2.342e+26     2.202e+26     2.052e+26     1.893e+26     1.729e+26     1.562e+26     1.396e+26     1.233e+26     1.077e+26     9.297e+25  
   6.000     2.341e+26     2.241e+26     2.131e+26     2.012e+26     1.886e+26     1.752e+26     1.614e+26     1.473e+26     1.331e+26     1.190e+26     1.053e+26     9.214e+25     7.967e+25  
   6.500     2.160e+26     2.061e+26     1.955e+26     1.842e+26     1.724e+26     1.601e+26     1.475e+26     1.346e+26     1.218e+26     1.090e+26     9.649e+25     8.437e+25     7.276e+25  
   7.000     1.836e+26     1.748e+26     1.656e+26     1.558e+26     1.457e+26     1.352e+26     1.245e+26     1.137e+26     1.028e+26     9.195e+25     8.127e+25     7.083e+25     6.076e+25  
   7.500     1.544e+26     1.468e+26     1.389e+26     1.307e+26     1.221e+26     1.133e+26     1.043e+26     9.520e+25     8.599e+25     7.677e+25     6.760e+25     5.860e+25     4.985e+25  
   8.000     1.286e+26     1.223e+26     1.156e+26     1.087e+26     1.016e+26     9.421e+25     8.668e+25     7.900e+25     7.120e+25     6.333e+25     5.547e+25     4.769e+25     4.011e+25  
   8.500     1.063e+26     1.010e+26     9.550e+25     8.977e+25     8.384e+25     7.772e+25     7.140e+25     6.493e+25     5.831e+25     5.159e+25     4.485e+25     3.816e+25     3.162e+25  
   9.000     8.728e+25     8.292e+25     7.837e+25     7.364e+25     6.871e+25     6.360e+25     5.831e+25     5.284e+25     4.722e+25     4.150e+25     3.573e+25     3.001e+25     2.442e+25  
   9.500     7.125e+25     6.767e+25     6.392e+25     6.000e+25     5.591e+25     5.164e+25     4.719e+25     4.257e+25     3.780e+25     3.294e+25     2.804e+25     2.317e+25     1.844e+25  
  10.000     5.785e+25     5.491e+25     5.182e+25     4.857e+25     4.516e+25     4.158e+25     3.784e+25     3.394e+25     2.991e+25     2.580e+25     2.165e+25     1.756e+25     1.362e+25  
  10.500     4.673e+25     4.430e+25     4.174e+25     3.904e+25     3.619e+25     3.320e+25     3.005e+25     2.677e+25     2.338e+25     1.992e+25     1.645e+25     1.305e+25     9.811e+24  
  11.000     3.754e+25     3.553e+25     3.341e+25     3.116e+25     2.878e+25     2.627e+25     2.364e+25     2.089e+25     1.805e+25     1.517e+25     1.229e+25     9.497e+24     6.887e+24  
  11.500     3.000e+25     2.834e+25     2.657e+25     2.470e+25     2.271e+25     2.061e+25     1.841e+25     1.612e+25     1.376e+25     1.137e+25     9.016e+24     6.759e+24     4.699e+24  
  12.000     2.385e+25     2.246e+25     2.099e+25     1.943e+25     1.777e+25     1.603e+25     1.420e+25     1.230e+25     1.035e+25     8.399e+24     6.490e+24     4.696e+24     3.109e+24  
  12.500     1.885e+25     1.770e+25     1.647e+25     1.517e+25     1.379e+25     1.235e+25     1.083e+25     9.269e+24     7.679e+24     6.097e+24     4.573e+24     3.175e+24     1.985e+24  
  13.000     1.482e+25     1.385e+25     1.283e+25     1.175e+25     1.061e+25     9.413e+24     8.171e+24     6.895e+24     5.608e+24     4.342e+24     3.145e+24     2.080e+24     1.217e+24  
  13.500     1.157e+25     1.076e+25     9.910e+24     9.015e+24     8.075e+24     7.096e+24     6.084e+24     5.053e+24     4.023e+24     3.025e+24     2.103e+24     1.314e+24     7.126e+23  
  14.000     8.959e+24     8.286e+24     7.581e+24     6.843e+24     6.074e+24     5.279e+24     4.463e+24     3.640e+24     2.827e+24     2.053e+24     1.360e+24     7.964e+23     3.972e+23  
  14.500     6.873e+24     6.313e+24     5.731e+24     5.129e+24     4.506e+24     3.868e+24     3.219e+24     2.571e+24     1.939e+24     1.353e+24     8.489e+23     4.632e+23     2.115e+23  
  15.000     5.206e+24     4.745e+24     4.271e+24     3.786e+24     3.290e+24     2.786e+24     2.278e+24     1.777e+24     1.297e+24     8.658e+23     5.125e+23     2.599e+23     1.086e+23  
  15.500     3.881e+24     3.508e+24     3.131e+24     2.749e+24     2.363e+24     1.972e+24     1.583e+24     1.203e+24     8.477e+23     5.399e+23     3.010e+23     1.417e+23     5.423e+22  
  16.000     2.839e+24     2.549e+24     2.258e+24     1.966e+24     1.672e+24     1.375e+24     1.082e+24     7.999e+23     5.434e+23     3.296e+23     1.729e+23     7.560e+22     2.654e+22  
  16.500     2.043e+24     1.826e+24     1.609e+24     1.391e+24     1.170e+24     9.480e+23     7.302e+23     5.245e+23     3.428e+23     1.978e+23     9.748e+22     3.958e+22     1.276e+22  
  17.000     1.455e+24     1.298e+24     1.139e+24     9.766e+23     8.121e+23     6.476e+23     4.877e+23     3.397e+23     2.132e+23     1.168e+23     5.402e+22     2.036e+22     6.029e+21  
  17.500     1.034e+24     9.196e+23     8.023e+23     6.820e+23     5.599e+23     4.388e+23     3.226e+23     2.175e+23     1.307e+23     6.787e+22     2.941e+22     1.028e+22     2.797e+21  
  18.000     7.336e+23     6.497e+23     5.629e+23     4.737e+23     3.836e+23     2.949e+23     2.112e+23     1.375e+23     7.898e+22     3.875e+22     1.571e+22     5.087e+21     1.272e+21  
  18.500     5.197e+23     4.576e+23     3.932e+23     3.272e+23     2.610e+23     1.965e+23     1.368e+23     8.574e+22     4.693e+22     2.172e+22     8.223e+21     2.465e+21     5.664e+20  
  19.000     3.670e+23     3.210e+23     2.733e+23     2.247e+23     1.762e+23     1.296e+23     8.748e+22     5.265e+22     2.739e+22     1.193e+22     4.212e+21     1.168e+21     2.466e+20  
  19.500     2.582e+23     2.241e+23     1.888e+23     1.531e+23     1.179e+23     8.454e+22     5.515e+22     3.179e+22     1.568e+22     6.416e+21     2.110e+21     5.407e+20     1.049e+20  
  20.000     1.807e+23     1.555e+23     1.295e+23     1.034e+23     7.800e+22     5.442e+22     3.423e+22     1.884e+22     8.795e+21     3.373e+21     1.032e+21     2.443e+20     4.355e+19  
  20.500     1.257e+23     1.071e+23     8.811e+22     6.918e+22     5.099e+22     3.452e+22     2.088e+22     1.095e+22     4.825e+21     1.732e+21     4.920e+20     1.076e+20     1.762e+19  
  21.000     8.678e+22     7.315e+22     5.935e+22     4.573e+22     3.288e+22     2.154e+22     1.250e+22     6.230e+21     2.585e+21     8.671e+20     2.286e+20     4.612e+19     6.940e+18  
  21.500     5.940e+22     4.948e+22     3.953e+22     2.985e+22     2.088e+22     1.321e+22     7.333e+21     3.464e+21     1.351e+21     4.227e+20     1.033e+20     1.921e+19     2.655e+18  
  22.000     4.026e+22     3.311e+22     2.600e+22     1.920e+22     1.304e+22     7.942e+21     4.206e+21     1.879e+21     6.871e+20     2.002e+20     4.528e+19     7.761e+18     9.846e+17  
  22.500     2.699e+22     2.188e+22     1.687e+22     1.215e+22     7.996e+21     4.674e+21     2.355e+21     9.918e+20     3.394e+20     9.190e+19     1.922e+19     3.032e+18     3.528e+17  
  23.000     1.787e+22     1.427e+22     1.078e+22     7.557e+21     4.801e+21     2.686e+21     1.283e+21     5.082e+20     1.623e+20     4.077e+19     7.868e+18     1.141e+18     1.217e+17  
  23.500     1.167e+22     9.160e+21     6.764e+21     4.604e+21     2.816e+21     1.502e+21     6.784e+20     2.519e+20     7.487e+19     1.741e+19     3.094e+18     4.118e+17     4.018e+16  
  24.000     7.507e+21     5.779e+21     4.161e+21     2.741e+21     1.608e+21     8.152e+20     3.467e+20     1.202e+20     3.318e+19     7.118e+18     1.163e+18     1.417e+17     1.263e+16  
  24.500     4.743e+21     3.574e+21     2.502e+21     1.589e+21     8.906e+20     4.272e+20     1.704e+20     5.500e+19     1.404e+19     2.771e+18     4.148e+17     4.616e+16     3.747e+15  
  25.000     2.935e+21     2.159e+21     1.464e+21     8.930e+20     4.758e+20     2.149e+20     8.002e+19     2.394e+19     5.625e+18     1.018e+18     1.391e+17     1.409e+16     1.038e+15  
