# eps=0.5: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     3.329e+26     3.232e+26     3.118e+26     2.985e+26     2.832e+26     2.658e+26     2.463e+26     2.247e+26     2.012e+26     1.764e+26     1.508e+26     1.251e+26     1.002e+26     7.693e+25     5.608e+25  
   4.500           nan           nan     2.840e+26     2.736e+26     2.617e+26     2.481e+26     2.328e+26     2.158e+26     1.972e+26     1.771e+26     1.560e+26     1.343e+26     1.126e+26     9.158e+25     7.177e+25     5.375e+25     3.799e+25  
   5.000           nan           nan     2.433e+26     2.327e+26     2.207e+26     2.073e+26     1.925e+26     1.765e+26     1.594e+26     1.414e+26     1.229e+26     1.045e+26     8.650e+25     6.941e+25     5.360e+25     3.935e+25     2.699e+25  
   5.500           nan           nan     2.076e+26     1.971e+26     1.856e+26     1.729e+26     1.592e+26     1.446e+26     1.294e+26     1.137e+26     9.808e+25     8.271e+25     6.796e+25     5.408e+25     4.127e+25     2.971e+25     1.969e+25  
   6.000           nan           nan     1.756e+26     1.657e+26     1.550e+26     1.434e+26     1.311e+26     1.183e+26     1.052e+26     9.201e+25     7.897e+25     6.633e+25     5.427e+25     4.291e+25     3.234e+25     2.275e+25     1.448e+25  
   6.500           nan           nan     1.583e+26     1.486e+26     1.382e+26     1.274e+26     1.160e+26     1.044e+26     9.257e+25     8.084e+25     6.932e+25     5.816e+25     4.746e+25     3.727e+25     2.767e+25     1.892e+25     1.149e+25  
   7.000           nan           nan     1.317e+26     1.232e+26     1.142e+26     1.049e+26     9.532e+25     8.558e+25     7.582e+25     6.615e+25     5.667e+25     4.746e+25     3.856e+25     2.999e+25     2.185e+25     1.447e+25     8.363e+24  
   7.500           nan           nan     1.087e+26     1.014e+26     9.385e+25     8.605e+25     7.810e+25     7.009e+25     6.208e+25     5.415e+25     4.635e+25     3.872e+25     3.126e+25     2.401e+25     1.711e+25     1.093e+25     6.008e+24  
   8.000           nan           nan     8.909e+25     8.301e+25     7.673e+25     7.032e+25     6.382e+25     5.728e+25     5.074e+25     4.424e+25     3.781e+25     3.144e+25     2.517e+25     1.903e+25     1.321e+25     8.124e+24     4.243e+24  
   8.500           nan           nan     7.261e+25     6.761e+25     6.249e+25     5.728e+25     5.200e+25     4.668e+25     4.134e+25     3.600e+25     3.066e+25     2.534e+25     2.005e+25     1.487e+25     1.002e+25     5.914e+24     2.935e+24  
   9.000           nan           nan     5.892e+25     5.487e+25     5.072e+25     4.651e+25     4.223e+25     3.790e+25     3.352e+25     2.911e+25     2.467e+25     2.021e+25     1.576e+25     1.142e+25     7.448e+24     4.205e+24     1.981e+24  
   9.500           nan           nan     4.766e+25     4.438e+25     4.104e+25     3.762e+25     3.415e+25     3.061e+25     2.701e+25     2.335e+25     1.965e+25     1.592e+25     1.220e+25     8.609e+24     5.409e+24     2.913e+24     1.300e+24  
  10.000           nan           nan     3.842e+25     3.578e+25     3.308e+25     3.031e+25     2.747e+25     2.456e+25     2.159e+25     1.856e+25     1.548e+25     1.236e+25     9.278e+24     6.354e+24     3.831e+24     1.959e+24     8.242e+23  
  10.500           nan           nan     3.087e+25     2.873e+25     2.654e+25     2.428e+25     2.196e+25     1.957e+25     1.711e+25     1.460e+25     1.204e+25     9.459e+24     6.928e+24     4.583e+24     2.639e+24     1.275e+24     5.028e+23  
